TABLE,PKEY,NAME,PROJECTID,SETID,PID,Device,Point,ADDRSLCT,ADDRESS,ALIAS,ALIASTYPE,P1,P2,P3,P4,P5,P6,P7,P8,TYPE,FORMAT,ISMODIFY,MSINPUT,MSOUTPUT,MSAUTOSUBS
DESetStatus,13768,f5578550-5623-4e08-977f-5375e8d7b0c7,0,GW3RMUC06,"PCPTHO_RC0009CM_T3,LBS",UC000935,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13769,c5fc1e4d-4962-4993-8f88-f7160a6d04b6,0,GW3RMUC06,"PCPTHO_RC0009CM_T2,LBS",UC000933,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13770,6dc81748-a9f4-4e41-a3e6-45b3f93063c8,0,GW3RMUC06,"PCPTHO_RC0009CM_COMMON,NACP",UC0009CM,NACP,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13771,943f4917-c723-4f3d-ab00-982161e2d8fb,0,GW3RMUC06,"PCPTHO_RC0009CM_K1,PKPA",UC000971,PKPA,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13772,b8604914-099c-4b60-a720-b587d818dcb4,0,GW3RMUC06,"PCPTHO_RC0009CM_K2,PKPA",UC000973,PKPA,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13773,d6937397-dd72-41b1-9342-c5f953dcc328,0,GW3RMUC06,"PCPTHO_RC0009CM_K1,PKPB",UC000971,PKPB,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13774,3a426bf7-bda1-4fdb-a622-4d96047e99be,0,GW3RMUC06,"PCPTHO_RC0009CM_K2,PKPB",UC000973,PKPB,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13775,76b512f9-fd33-4951-9d70-5f99311ae221,0,GW3RMUC06,"PCPTHO_RC0009CM_K1,PKPC",UC000971,PKPC,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13776,557fa405-6d4e-4957-b995-df54f0e31183,0,GW3RMUC06,"PCPTHO_RC0009CM_K2,PKPC",UC000973,PKPC,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13777,1005e92c-ad90-4669-aa3f-2bc62c391d1c,0,GW3RMUC06,"PCPTHO_RC0009CM_K1,PKPN",UC000971,PKPN,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13778,56a1c0b0-72b6-465f-9369-473489966bfe,0,GW3RMUC06,"PCPTHO_RC0009CM_K2,PKPN",UC000973,PKPN,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13779,64ba8a50-c9c4-47a0-a0d1-e52d4d5ac300,0,GW3RMUC06,"PCPTHO_RC0009CM_T3,SFAL",UC000935,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13780,2f70569f-8e3b-49e0-9143-545a8d2f6ef5,0,GW3RMUC06,"PCPTHO_RC0009CM_K1,SFAL",UC000971,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13781,138386f3-b3ea-4471-8e4d-e6410bd243c1,0,GW3RMUC06,"PCPTHO_RC0009CM_T1,SFAL",UC000931,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13782,336b263a-bb57-4f4d-82d7-bc441629e023,0,GW3RMUC06,"PCPTHO_RC0009CM_T2,SFAL",UC000933,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13783,8de400e0-7b90-479b-87d7-8319129d128e,0,GW3RMUC06,"PCPTHO_RC0009CM_L1,SFAL",,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13784,28855e1a-2175-49ef-89b4-72dee308b880,0,GW3RMUC06,"PCPTHO_RC0009CM_K2,SFAL",UC000973,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13785,b387e638-fcbd-4996-a64c-4afab706ca87,0,GW3RMUC06,"PCPTHO_RC0009CM_K2,VAPR",UC000973,VAPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13786,15602879-f1c7-43eb-afd9-b07997866e54,0,GW3RMUC06,"PCPTHO_RC0009CM_K1,VAPR",UC000971,VAPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13787,5e94ecae-7e31-4ea0-813c-2fed86599acf,0,GW3RMUC06,"PCPTHO_RC0009CM_K1,VBPR",UC000971,VBPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13788,a4926882-971e-4c29-bb47-8c2b2bac182b,0,GW3RMUC06,"PCPTHO_RC0009CM_K2,VBPR",UC000973,VBPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13789,6dd29e66-41ab-4be9-903d-73024f60e903,0,GW3RMUC06,"PCPTHO_RC0009CM_K2,VCPR",UC000973,VCPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13790,aa692406-2cd1-4347-931c-f1844ba90fa9,0,GW3RMUC06,"PCPTHO_RC0009CM_K1,VCPR",UC000971,VCPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13791,a5776fa5-e8b5-4874-bbdc-b82a9dc8ea88,0,GW3RMUC06,"PCPTHO_RC0009CM_K2,VLPS",UC000973,VLPS,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13792,c6d36261-abd0-4063-8e47-9fa5c3e2bd35,0,GW3RMUC06,"PCPTHO_RC0009CM_K1,VLPS",UC000971,VLPS,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13793,b1df05a7-1479-49d1-b6d4-900712455bff,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,PKABC",UC001075,PKABC,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13794,e2bd149c-c0cf-46d7-b30a-b8636f9f7b77,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,PKABC",UC001073,PKABC,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13795,8a560092-75a7-4bea-b116-e8ddb7464245,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,PKABC",UC001071,PKABC,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13796,303684c4-6c87-47c4-8285-020eb4b4af15,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,BALR",UC001073,BALR,0,101,,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
DESetStatus,13797,8c8dbcf4-e8e5-4e63-b6e4-ef06bfc3b7bc,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,BALR",UC001071,BALR,0,101,,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
DESetStatus,13798,90198014-911b-4d7b-b83e-ac4e671564f8,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,BALR",UC001075,BALR,0,101,,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
DESetStatus,13799,9c0382d5-c537-4d0d-af04-13759c9e1893,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,DC24",UC001073,DC24,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13800,058224bf-f4fa-41ac-921b-34f02d233bbe,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,DC24",UC001071,DC24,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13801,45380905-f870-4be3-83df-d828e21ddf37,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,DC24",UC001075,DC24,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13802,945aa1d9-27a2-42ab-b6f6-0c6fe5d39368,0,GW3RMUC06,"PCPTHO_RC0010CM_COMMON,DCCB",UC0010CM,DCCB,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13803,8614c716-f317-447e-baaf-2720db54216e,0,GW3RMUC06,"PCPTHO_RC0010CM_COMMON,DOOR",UC0010CM,DOOR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13804,f656be23-208f-4624-98b3-a3b616ec9292,0,GW3RMUC06,"PCPTHO_RC0010CM_T1,ES",UC001031,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13805,c25c2f66-e97d-41a2-be70-cc0b5de51511,0,GW3RMUC06,"PCPTHO_RC0010CM_T3,ES",UC001035,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13806,bb4f5af0-6fce-4dc5-9431-66deaa01ceba,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,ES",UC001075,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13807,dcc4a9ca-416b-4190-9e66-d0213417946f,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,ES",UC001071,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13808,c3df14e3-1ad9-4d65-9757-7ed575442395,0,GW3RMUC06,"PCPTHO_RC0010CM_T2,ES",UC001033,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13809,4436ad60-369b-49c1-8dcf-1833b27515fd,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,ES",UC001073,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13810,a53f9715-76d3-4dd5-a085-e6ec34ec1fb7,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,FI",UC001071,FI,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13811,4f3e439f-5990-41ea-ae2c-5b41d851423c,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,FI",UC001075,FI,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13812,cfff0f71-5a24-4a06-8bb0-895c48ce8144,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,FI",UC001073,FI,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13813,835a274c-fa92-4f77-b47e-5d29e52d2570,0,GW3RMUC06,"PCPTHO_RC0010CM_T2,LBS",UC001033,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13814,0d423a16-c218-4626-a8b1-29d124725aa5,0,GW3RMUC06,"PCPTHO_RC0010CM_T1,LBS",UC001031,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13815,32e16f23-ac29-43fc-b44a-38c2f4498232,0,GW3RMUC06,"PCPTHO_RC0010CM_T3,LBS",UC001035,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13816,bc897887-4a71-4b23-848b-9881f465c200,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,LBS",UC001073,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13817,640d28e9-728a-4246-8fb2-6572567c5f16,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,LBS",UC001075,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13818,8236807a-ce5a-4007-b303-1b25ef05c322,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,LBS",UC001071,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13819,0114bb2d-9227-4732-b566-eadc9fe255cc,0,GW3RMUC06,"PCPTHO_RC0010CM_COMMON,NACP",UC0010CM,NACP,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13820,6c4642fc-a3b0-4184-ba91-fcce49860393,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,PKPA",UC001073,PKPA,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13821,41df914d-7826-4fb7-88ce-1203c6f15f78,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,PKPA",UC001071,PKPA,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13822,9dfb9399-7ea6-4e57-9cb5-42b1f8ba7d74,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,PKPA",UC001075,PKPA,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13823,93579551-e5b1-4304-a4f7-7fcb58585687,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,PKPB",UC001075,PKPB,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13824,850d7f2d-a966-4e7f-8351-7d6de8f467a7,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,PKPB",UC001071,PKPB,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13825,abb7d26e-413e-4d36-88f5-f0c672ffaca9,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,PKPB",UC001073,PKPB,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13826,4fc94c25-ac2a-4628-b634-bf4a8b787d62,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,PKPC",UC001075,PKPC,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13827,b3668964-b4bd-48e6-ab68-239d727f5d29,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,PKPC",UC001071,PKPC,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13828,e7d280e6-08ff-45e3-8106-3bb1e6e1ad71,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,PKPC",UC001073,PKPC,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13829,8660e996-92af-407f-b5fe-ec026e95317e,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,PKPN",UC001075,PKPN,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13830,dde4ccd9-315e-44ea-a341-edb58e8b613d,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,PKPN",UC001073,PKPN,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13831,8e5416e2-7d27-403f-a4ad-af4987939d45,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,PKPN",UC001071,PKPN,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13832,e7b3838e-04a1-420b-ae27-88a177cf8307,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,SFAL",UC001071,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13833,f695d9a9-bdf5-41a9-99ae-6677e98e8078,0,GW3RMUC06,"PCPTHO_RC0010CM_T1,SFAL",UC001031,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13834,5d758c8e-c5af-4a07-8955-9038362c7eca,0,GW3RMUC06,"PCPTHO_RC0010CM_T3,SFAL",UC001035,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13835,9b645acf-650f-4c02-a850-4406f5811348,0,GW3RMUC06,"PCPTHO_RC0010CM_T2,SFAL",UC001033,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13836,56517827-fa8e-4e3b-a72c-d49d44898a5e,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,SFAL",UC001073,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13837,e2c9e5a2-d7e2-47ed-9f9e-aaf6247f5ab3,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,SFAL",UC001075,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13838,f3d3c0d5-3ba1-4f31-85a6-c8fbc57f0433,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,VAPR",UC001071,VAPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13839,e047d274-7543-440a-997d-ee8dc3793277,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,VAPR",UC001073,VAPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13840,6206cc02-abdb-4ce1-90fc-e53c79ecd529,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,VAPR",UC001075,VAPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13841,091ac502-e92e-4417-a0bc-7725400daaeb,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,VBPR",UC001075,VBPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13842,69aca20a-71da-44ba-99d1-c4d54e6e0ea5,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,VBPR",UC001073,VBPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13843,77c30021-e27e-4679-8adc-0c36c589419a,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,VBPR",UC001071,VBPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13844,e0e00334-a22d-44d7-85ae-bea640fbb826,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,VCPR",UC001075,VCPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13845,7008e6f7-be61-41f7-a723-11446fa20926,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,VCPR",UC001073,VCPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13846,b1a5acf1-51c7-41b3-a9d7-1c5bd2ae4e27,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,VCPR",UC001071,VCPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13847,a3e3af86-bb6a-4b67-8a3f-4a202e1cc57b,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,VLPS",UC001073,VLPS,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13848,a739dffd-103a-43c4-acc9-2d77f3eab3b5,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,VLPS",UC001071,VLPS,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13849,89297373-e47a-40c5-9e4b-2a887cb2cdca,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,VLPS",UC001075,VLPS,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
